word,sentiment_score,frequency
excellent,1.1365843273344494,21
heureux,1.129911634657118,9
satisfait,1.0611824762253534,21
réussi,1.0096799002753363,18
agréable,0.9968585968017578,16
plaisir,0.9710986879136827,18
parfait,0.8893193562825521,15
fantastique,0.8453640315843665,23
correct,0.8423374010168988,23
superbe,0.8336163128123564,17
merveilleux,0.7695014190673828,25
standard,0.7669039506178635,26
commun,0.7570176278391192,31
habituel,0.752376296303489,22
typique,0.6840453147888184,20
régulier,0.6163409197771991,27
ordinaire,0.5906437998232634,23
moyen,0.5834933971536571,29
conventionnel,0.5481180980287749,29
frustré,0.5055264234542847,24
déçu,0.46955069628628815,22
terrible,0.4694450795650482,16
mauvais,0.45627245903015134,20
décevant,0.45207806637412623,19
pénible,0.45040090267474836,13
normal,0.4482147428724501,18
horrible,0.384359253777398,18
ennuyeux,0.3598431746164958,24
catastrophique,0.3506019011787746,23
médiocre,0.321018648147583,20
